Кафе соки и блинчики	Кафе	2012-08-01	125.00
пирожки	Кафе	2012-08-04	70.00
картошка и коктель	Кафе	2012-08-04	140.00
Овощные роллы	Кафе	2012-08-17	100.00
Поели в кафешке	Кафе	2012-08-17	725.00
Кафе с друзьями (Pronto)	Кафе	2012-08-18	1095.00
Блинчики в кафешке в Казани	Кафе	2012-09-02	376.00
Поели пиццу в кафешке	Кафе	2012-09-12	230.00
Поели в кафешке в Палитре	Кафе	2012-09-21	349.00
Мороженое	Кафе	2012-09-21	160.00
интернет	Квартплата	2012-08-02	600.00
за квартплату	Квартплата	2012-08-02	1491.00
Заплатил за комнату	Квартплата	2012-08-17	4000.00
За интернет	Квартплата	2012-09-02	500.00
Заплатил за комнату	Квартплата	2012-09-13	4000.00
Заплатил за интернет	Квартплата	2012-09-15	300.00
За квартплату	Квартплата	2012-09-17	2700.00
Маме Инги долг	Долги	2012-08-02	1000.00
Долг	Долги	2012-08-11	500.00
Корм коту	Кот	2012-08-26	49.70
«Олазоль» от ожогов	Лекарства	2012-08-06	220.00
Ночные рубашки	Одежда	2012-08-02	1220.00
Юбка с кофтой	Одежда	2012-08-02	1400.00
Халат синий	Одежда	2012-08-02	1550.00
шляпа	Одежда	2012-08-04	350.00
тонкие джинсы	Одежда	2012-08-04	1000.00
штаны	Одежда	2012-08-04	1000.00
Штаны	Одежда	2012-08-05	450.00
Рубашка	Одежда	2012-08-05	600.00
Штаны	Одежда	2012-08-05	600.00
Туфли	Одежда	2012-08-05	650.00
Бантики	Одежда	2012-08-11	120.00
Ткань и шитьё подъюбника	Одежда	2012-08-11	1040.00
Колготки	Одежда	2012-09-21	1000.00
Сходили в кино на «Вспомнить всё»	Кино	2012-08-18	730.00
квас и шашлык	Подарки	2012-08-04	210.00
медовуха	Подарки	2012-08-04	400.00
Вафли и пастила мамаше	Подарки	2012-08-12	65.84
Дал денег матери	Подарки	2012-08-19	3000.00
Масла в подарок	Подарки	2012-08-19	143.80
Перевёл матери денег	Подарки	2012-09-15	5000.00
Перевёл матери денег на телефон	Подарки	2012-09-15	500.00
Виноград в храм	Пожертвование	2012-08-03	94.45
Пожертвование на хозяйственные расходы	Пожертвование	2012-09-23	1000.00
пожертвование	Пожертвование	2012-09-23	80.00
Пожертвования	Пожертвование	2012-09-29	1000.00
бусы	Украшения	2012-08-04	650.00
Поездка к Ильгизу	Проезд	2012-07-14	200.00
Проезд	Проезд	2012-07-20	30.00
проезд к бабушке	Проезд	2012-07-21	60.00
Проезд до ларисы	Проезд	2012-07-26	120.00
Проезд в день благотворительности	Проезд	2012-07-27	45.00
проезд в увд	Проезд	2012-08-04	60.00
Спасская ярмарка. Елабуга дорога	Проезд	2012-08-04	520.00
Всего за проезд в субботу	Проезд	2012-08-11	75.00
Всего за проезд в воскресенье	Проезд	2012-08-12	240.00
Ильгизу за провоз до Казани	Проезд	2012-09-02	1500.00
Проезд с марта по сентябрь	Проезд	2012-09-29	2000.00
Дополнительные неучтённые расходы за июль	Разное	2012-07-13	8184.14
Ильгизу за физику	Разное	2012-07-15	5000.00
кино	Разное	2012-08-01	380.00
фотографирования	Разное	2012-08-04	30.00
Письмо Клевцову	Разное	2012-08-06	42.12
Дал денег Жорику	Разное	2012-08-06	300.00
Письмо Клевцову	Разное	2012-08-27	30.87
Пополнение счета	Телефон	2012-07-15	200.00
телефон Инга	Телефон	2012-07-28	100.00
телефон обоим	Телефон	2012-08-02	500.00
Телефон Инга	Телефон	2012-09-11	200.00
Телефон Инга	Телефон	2012-09-12	302.00
Мне на телефон	Телефон	2012-09-12	500.00
Хвойное мыло	Хозтовары	2012-07-24	22.32
Зажигалка	Хозтовары	2012-07-29	3.60
Коврик	Хозтовары	2012-08-01	595.00
Канделябры	Хозтовары	2012-08-01	1120.00
разводной ключ	Хозтовары	2012-08-02	270.00
Стиральные порошки и хоз товары	Хозтовары	2012-08-02	3880.38
зеркало	Хозтовары	2012-08-04	200.00
расческа	Хозтовары	2012-08-04	250.00
Труба в ванную	Хозтовары	2012-08-05	60.00
Грунт, дренаж и 24 стакана	Хозтовары	2012-08-09	147.15
Шесть стаканов	Хозтовары	2012-08-10	12.30
Мыло медовое	Хозтовары	2012-08-15	17.90
Перчатки резиновые	Хозтовары	2012-08-16	77.94
Мелочи в магазине «Ганга»	Хозтовары	2012-09-02	1120.00
Бытовые мелочи	Хозтовары	2012-09-08	180.30
Крышка сковородки и два переходника	Хозтовары	2012-09-14	527.00
Постельное бельё	Хозтовары	2012-09-21	2800.00
Кухонные принадлежности	Хозтовары	2012-09-21	397.00
Мыло	Хозтовары	2012-09-24	21.24
Горшки, грунт и дренаж и удобрения	Хозтовары	2012-09-28	1700.00
Клеёнка	Хозтовары	2012-09-28	1000.00
Чётки	Оборудование	2012-08-11	500.00
Часы	Оборудование	2012-08-12	2226.00
Сходили в IKEA	Оборудование	2012-09-02	3623.00
Прожектор и кабель к нему	Оборудование	2012-09-14	200.00
Лампочки в люстру (6)	Оборудование	2012-09-14	66.00
Запасная лампочка в прожектор	Оборудование	2012-09-15	50.00
счётчик для чёток	Оборудование	2012-09-23	50.00
Кредит за планшет и смартфон	Кредит	2012-08-01	6060.00
За кредит РСБ + комиссия за перевод	Кредит	2012-09-12	6060.00
Книги в читай-городе	Книги	2012-09-21	2973.00
«Молитвы царицы Кунти», Бхагават-Гита	Книги	2012-09-23	370.00
Книги в храме (за разное время)	Книги	2012-09-29	1000.00
Вода	Вода	2012-10-16	47.50
Вода	Вода	2012-10-21	47.50
Вода	Вода	2012-11-01	47.50
Вода	Вода	2012-11-05	47.50
Вода	Вода	2012-11-10	47.50
Вода	Вода	2012-11-15	47.50
Вода	Вода	2012-11-25	47.50
Вода	Вода	2012-12-02	47.50
Вода	Вода	2012-12-07	47.50
Вода	Вода	2012-12-12	47.50
Вода	Вода	2012-12-24	47.50
Вода	Вода	2012-12-29	47.50
Инге вернуть долг	Долги	2012-11-16	500.00
Мороженое манговое	Кафе	2012-10-08	80.00
Пиццерия «Верона» в Эссене	Кафе	2012-10-12	320.00
