огурцы, кефир	Еда	2012-07-10	38,80	
Покупки в магазине еды	Еда	2012-07-14	220,00	3
Молоко, сгущ. Молоко	Еда	2012-07-15	53,00	
Чай, фисташки	Еда	2012-07-15	342,00	
Кафешка	Кафе	2012-07-15	350,00	
Шоколад в падарок	Подарки	2012-07-15	42,70	
кетчуп балтимор, джем, томат. Паста	Еда	2012-07-19	125,00	
семечки белочка	еда,семечки	2012-07-19	28,80	
печенье фр, сок добрый перски	Еда	2012-07-21	135,40	
хлеб, ряженка	Еда	2012-07-23	41,10	
молоко сгущ, масло слобода	Еда	2012-07-24	119,90	
Арбуз	Еда	2012-07-25	77,61	
Молоко, нектарин, баранки, бабочки	Еда	2012-07-25	214,17	
молоко, сыр плавленый	Еда	2012-07-27	39,50	
Кафешка	кафе	2012-07-27	325,00	
поводок и корм	кот	2012-07-27	127,00	
хлеб семейный, сочни с твор. Крем., хот дог.	Еда	2012-07-28	98,70	5
Молоко сгущ. и шоколад	Еда	2012-07-29	97,60	
семечки белочка	еда,семечки	2012-07-30	29,40	3
мин вода	Вода	2012-08-01	13,00	
покупка еды	Еда	2012-08-01	379,51	
Чай	Еда	2012-08-01	450,00	
Поп-корн в кинотеатре	кино	2012-08-01	250,00	
Кафе соки и блинчики	кафе	2012-08-01	390,00	
мороженое макароны виноград и масло	Еда	2012-08-02	298,79	
вода и спрайт	Вода	2012-08-04	51,00	
покупки соков и мороженного	Еда	2012-08-04	444,00	
хлеб	Еда,хлеб	2012-08-04	10,00	
Мёд	еда,сладости	2012-08-05	1000,00	
Хлеб и сладости	Еда	2012-08-06	78,84	
Сладости и семечки	Еда	2012-08-06	307,96	
Арбуз картошка виноград нектарин	Еда	2012-08-07	397,00	
Хлеб и батон	Еда,хлеб	2012-08-07	28,40	
Виноград	Еда,фрукты	2012-08-08	99,91	
Хлеб, сыр, сладости, молоко	Еда	2012-08-09	376,71	
Шоколад воздушный	Еда,сладости	2012-08-10	42,70	3
Burn	Еда	2012-08-11	93,00	
Минералка	Вода	2012-08-12	18,50	
Молоко и минералка	Еда	2012-08-12	32,10	
Хлеб, вареники, сыр и пирожное	Еда	2012-08-13	275,29	
семечки белочка	еда,семечки	2012-08-13	78,60	
Мороженое, рафаэлло, печенье, конфеты, сгущёнка	Еда,сладости	2012-08-14	490,40	5
Творог, рис, гречка, макароны, молоко, виноград	Еда	2012-08-15	281,00	3
Сникерс, семечки, молоко, йогурт, чипсы	Еда	2012-08-16	205,40	2
Хлеб и батон	Еда,хлеб	2012-08-16	44,80	
Семечки	еда,семечки	2012-08-17	49,80	
Хлеб	Еда,хлеб	2012-08-20	20,00	
Бананы, масло и молоко	Еда	2012-08-22	204,35	
Хлеб и сладости	Еда	2012-08-23	313,81	
Разная еда	Еда	2012-08-24	71,00	
Семечки	еда,семечки	2012-08-27	49,80	
Яблоки	Еда,фрукты	2012-08-27	42,74	
Хлеб и сладости	Еда	2012-08-29	164,84	
Гора еды из Челны-хлеба (в основном фрукты)	Еда,фрукты	2012-08-30	1193,55	5
Хлеб	Еда,хлеб	2012-08-31	10,00	
Хлеб и овощи	Еда	2012-09-01	46,58	
Хлеб семечки печенье сникерс	Еда	2012-09-03	188,62	
Фрукты, хлеб и всякая фигня	Еда	2012-09-04	508,92	
Хлеб	Еда,хлеб	2012-09-04	92,26	
Минералка, сыр и чипсы	Еда	2012-09-06	214,14	
Огурцы, помидоры, макароны, лаваш	Еда	2012-09-07	192,19	
Молоко и сладости	Еда	2012-09-08	147,51	
Виноград	Еда,фрукты	2012-09-08	91,80	
Мука	Еда	2012-09-09	57,50	
Много еды в Челны-хлебе	Еда	2012-09-09	310,52	5
Молоко	Еда,молоко	2012-09-10	29,30	
Лаваш и хлеб	Еда,хлеб	2012-09-11	24,60	
Молоко, виноград, огурцы	Еда	2012-09-12	197,42	
Хлеб и сладости	Еда	2012-09-13	172,96	
Соки	Еда,сок	2012-09-13	139,40	
Много разной еды	Еда	2012-09-14	220,47	
Сахар, молоко, сок, персики и минералка	Еда	2012-09-15	352,61	
Конфеты ириски сникерс	Еда,сладости	2012-09-16	133,29	
Много еды в Челны-хлебе	Еда	2012-09-17	549,42	
Помидоры	Еда,овощи,помидоры	2012-09-17	29,09	
Фундук	Еда	2012-09-18	118,00	
Сыр и сметана	Еда,молочные продукты	2012-09-18	81,07	
Овощи	Еда,овощи	2012-09-18	77,97	
Мороженое и шоколадка	Еда,сладости	2012-09-18	42,60	
Виноград, хлеб и масло	Еда	2012-09-19	320,54	
Молоко	Еда,молоко	2012-09-19	29,30	
Чипсы	Еда,чипсы	2012-09-20	77,70	
Шесть банок сгущёнки и швепс	Еда	2012-09-21	368,50	
Хлеб и сладости	Еда	2012-09-22	199,18	
Фундук	Еда	2012-09-22	51,55	
Семечки	Еда,семечки	2012-09-25	49,80	
Хлеб	Еда,хлеб	2012-09-25	30,80	
Помидоры и молоко	Еда	2012-09-26	55,74	
Огурцы и перец	Еда,овощи	2012-09-26	43,58	
Виноград	Еда,фрукты	2012-09-27	113,85	
Хлеб и конфеты	Еда	2012-09-28	71,18	
Семечки масло лечо и сгущёнка	Еда	2012-09-28	141,26	
Мороженое чипсы и сок	Еда	2012-09-29	255,00	
Овощи, пирожки, молоко и шоколадка	Еда	2012-09-29	302,72	
Много еды в Челны-хлебе	Еда	2012-09-30	290,54	5
Фрукты, макароны и хлеб	Еда	2012-10-01	243,68	
Соль	Еда	2012-10-02	10,50	
Много еды в Магните	Еда	2012-10-02	639,80	
Шоколад	Еда,сладости	2012-10-02	96,00	
Хлеб и молоко	Еда	2012-10-03	100,10	
Семечки и плавленый сыр	Еда	2012-10-03	62,40	
Сливы, хлеб и виноград	Еда	2012-10-05	109,97	
Минералка и молоко	Еда	2012-10-06	35,80	
Зефир	Еда,сладости	2012-10-06	32,96	
Минералка и семечки	Еда	2012-10-07	69,30	
Заколки, открытка, блокнот и набор для сборки браслета	Хозтовары	2012-10-09	315,45	
Овощи, фрукты, хлеб и сладости	Еда	2012-10-10	1301,48	
Семечки	Еда,семечки	2012-10-13	99,60	
Овощи, фрукты, хлеб и сладости	Еда	2012-10-15	152,45	
Виноград и томат	Еда	2012-10-16	106,78	
Овощи, фрукты, хлеб и сладости	Еда	2012-10-17	373,95	
Овощи, фрукты, хлеб и сладости	Еда	2012-10-18	824,97	
Овощи, фрукты, хлеб и сладости	Еда	2012-10-20	310,68	
Адовая смесь фруктов, овощей и дьявольского зелья-соуса	Еда	2012-10-21	195,00	
Хлеб	Еда,хлеб	2012-10-21	21,70	
Фрукты, хлеб и сладости	Еда	2012-10-22	367,54	
Мороженое, семечки, хлеб, рис и виноград	Еда	2012-10-22	231,17	
Виноград	Еда	2012-10-24	68,86	
Что-то в Челны-Хлебе	Еда	2012-10-24	68,86	5
Молоко, сыр и шоколадка	Еда	2012-10-25	160,02	
Что-то в Челны-Хлебе	Еда	2012-10-25	102,86	5
Семечки	Еда,семечки	2012-10-27	49,80	
Сникерс	Еда,сладости,сникерс	2012-10-28	29,80	
Хлеб, молоко, мука, макароны, виноград, семечки и творог	Еда	2012-10-29	360,64	5
Чипсы, хурма, яйца, марс, фрукты, слойки, молоко, овощи	Еда	2012-10-30	427,71	5
Еда из Челны-хлеба	Еда	2012-10-30	127,71	5
Сникерс	Еда,сладости,сникерс	2012-10-31	29,80	
Еда в Метро	Еда	2012-11-01	2102,05	
Фрукты и молоко	Еда	2012-11-03	119,68	
Еда из Челны-хлеба	Еда	2012-11-03	119,68	
Виноград и семечки	Еда	2012-11-04	101,81	
Творог, виноград и помидоры	Еда	2012-11-05	153,62	
Огурцы	Еда,овощи,огурцы	2012-11-05	88,32	
Фрукты, молоко, масло и семечки	Еда	2012-11-07	398,95	
Виноград	Еда,фрукты	2012-11-08	141,00	
Хлеб и семечки	Еда	2012-11-09	62,00	
Чай и молоко	Еда	2012-11-10	86,90	
Фрукты, овощи, молочное и сладости	Еда	2012-11-10	582,09	
Семечки	Еда,семечки	2012-11-11	53,00	
Макароны, капуста, хлеб, молоко, семечки и сыр	Еда	2012-11-12	265,02	
Хлеб	Еда,хлеб	2012-11-15	38,35	
Молоко, хлеб и сладости	Еда	2012-11-17	221,15	
Семечки и мороженое	Еда	2012-11-17	65,60	
Сладости, крупа и соки	Еда	2012-11-19	625,41	
Хлеб, фрукты и сладости	Еда	2012-11-19	220,31	
Фрукты, хлеб, сладости и молоко	Еда	2012-11-20	903,51	
Макароны и сгущёнка	Еда	2012-11-21	165,40	
Шоколад и сладости	Еда,сладости	2012-11-23	139,52	
Чипсы и семечки	Еда	2012-11-24	128,50	
Молоко и орешки	Еда	2012-11-24	80,88	
Семечки	Еда,семечки	2012-11-24	30,80	3
Фрукты, овощи, хлеб и сладости	Еда	2012-11-25	561,98	
Огурцы и помидоры	Еда	2012-11-27	125,78	
Молоко	Еда,молоко	2012-11-27	34,80	
Туалетная бумага и семечки	Хозтовары	2012-11-27	84,15	
Молоко	Еда,молоко	2012-11-28	89,50	
Фрукты и овощи	Еда	2012-11-30	388,94	
Твикс, хлеб и молоко	Еда	2012-12-01	129,50	
Хлеб	Еда,хлеб	2012-12-01	10,20	
Сладости, сок и картошка	Еда	2012-12-02	331,27	
Лаваш	Еда,хлеб	2012-12-02	49,20	
Молоко	Еда,молоко	2012-12-05	60,70	
Много еды в Челны-Хлебе	Еда	2012-12-06	1101,32	5
Картошка, лаваш, хлеб и помидоры	Еда	2012-12-08	167,26	
