Овощи, фрукты, хлеб, молоко и Piccolini в мэтро	Еда	2013-01-12	2068,76	12	
Мороженое, хлеб, молоко	Еда	2013-01-14	64,90		
Мороженое, козинаки арахисовые, батончик молочный, хлеб, мармелад, молоко, ирис, джем	Еда	2013-01-16	372,88		
Торт фареттини гламур, апельсины, сок, семечки, мороженое, груши	Еда	2013-01-20	274,28		
Мандарины, лаваш, хлеб, молоко	Еда	2013-01-21	155,73		
Сникерсы	Еда,сладости,сникерс	2013-01-22	59,60		
Пирожные и пирожки	Еда	2013-01-23	273,30		
Семечки и молоко	Еда	2013-01-24	85,50		
Бананы, сникерсы	Еда	2013-01-25	97,23		
Огурцы, помидоры, капуста, виноград, сметана	Еда	2013-01-25	327,00		
Семечки и чипсы	Еда	2013-01-27	110,80		
Печеньки, бананы, хлеб, сок и шоколадка	Еда	2013-01-27	193,11		
Молоко и джем	Еда	2013-01-29	79,90		
Сгущёнка, шоколадка, лаваш, хлеб	Еда	2013-01-29	200,80		
Кекс, ирис, лаваш, киви, картофель, бананы, творог, молоко, сыр плавленый	Еда	2013-01-30	409,72		
Капуста, томатная паста, масло, манго, молоко, сметана, сливки, фасоль свежемороженая, брокколи	Еда	2013-02-02	472,00		
Сыр, постный майонез	Еда	2013-02-02	527,00		
Масло подсолнечное	Еда	2013-02-03	78,60		
Конфеты, молоко, йогурт, лукум	Еда	2013-02-06	129,48		
Печенье, хлеб, молоко, бананы, конфеты, молоко топлёное	Еда	2013-02-07	221,75		
Молоко, груши и хлеб	Еда	2013-02-09	86,34		
Помидоры, лаваш и молоко	Еда	2013-02-13	133,85		
Сок, яблоки, картофель, мандарины, напиток молочный	Еда	2013-02-14	196,60		
Сметана, творог, огурцы и помидоры	Еда	2013-02-14	141,92		
Молоко, сгущёнка и печеньки	Еда	2013-02-15	177,30		
Бананы	Еда,фрукты,бананы	2013-02-16	45,14		
Молоко	Еда,молоко	2013-02-16	32,40		
Чипсы	Еда,чипсы	2013-02-17	33,80		
Мандарины, яблоки, печенье, сникерс, груши, творог, молоко и плавленый сыр	Еда	2013-02-18	299,34		
Молоко, лаваш, бананы	Еда	2013-02-19	122,15		
Конфеты, хлеб, ириски, яблоки, кабачки, киви, хурма, мандарины, капуста, груши	Еда	2013-02-20	477,94		
Кефир, рис	Еда	2013-02-21	65,66		
Мороженое, джем, масло, хлеб и молоко	Еда	2013-02-22	229,93		
Молоко	Еда,молоко	2013-02-24	36,40		
Изюм, кабачки	Еда	2013-02-24	104,57		
Семечки	Еда,семечки	2013-02-25	34,00		
Хлеб и молоко	Еда	2013-02-26	54,70		
Грейпфрут и апельсиновый сок	Еда	2013-02-27	66,56		
Помидоры, молоко	Еда	2013-02-27	82,58		
Хлеб и сода	Еда	2013-02-27	29,80		
Капуста, хлеб	Еда	2013-02-28	46,42		
Молоко	Еда,молоко	2013-02-28	34,80		
Много еды из Метро	Еда	2013-03-01	3044,15	12	
Мандарины и молоко	Еда	2013-03-04	74,00		
Хлеб, молоко	Еда	2013-03-06	93,80		
Помидоры, груши, мандарины, огурцы и киви	Еда	2013-03-08	259,25		
Бананы и молоко	Еда	2013-03-08	82,35		
Семечки и ирис	Еда	2013-03-09	78,80		
Мороженое, хлеб и молоко	Еда	2013-03-09	73,30		
Хлеб, батон и конфеты	Еда	2013-03-11	63,14		
Печенье, сочни, конфеты, бананы, финики, сгущёнка	Еда	2013-03-12	220,51		
Макароны и сгущёнка	Еда	2013-03-13	98,20		
Кекс, батон, молоко, кексы с варёной сгущёнкой	Еда	2013-03-13	115,13	3	
Вода	Вода	2013-03-13	47,50		
Мороженое, груши, пирог и лаваш	Еда	2013-03-14	349,68		
Капуста	Еда,овощи,капуста	2013-03-15	43,00		
Хлеб и молоко	Еда	2013-03-15	37,90		
Конфеты, молоко, печенье, лаваш, фундук, груши	Еда	2013-03-16	355,78		
Хлеб	Еда,хлеб	2013-03-18	12,00		
Семечки	Еда,семечки	2013-03-18	53,00		
Конвертик творожный, беккен с яблоками	Еда	2013-03-19	65,90		
Молоко, печенье, творог	Еда	2013-03-20	319,00		
Хлеб	Еда,хлеб	2013-03-22	12,00		
Семечки	Еда,семечки	2013-03-22	53,00		
Гречка	Еда,крупа	2013-03-25	37,79		
Кукуруза, хлеб, огурцы, картофель, масло сливочное, батон, лаваш, молоко	Еда	2013-03-25	308,98		
Молоко	Еда,молоко	2013-03-27	32,40		
Рис	Еда,крупа	2013-03-29	43,27		
Мюсли и гематоген батончики	Еда	2013-03-30	70,16		
Гора еды из Магнита	Еда	2013-03-30	1086,58		
Батон, хлеб, торт феретти, конфеты Россия с карамелью, ириски, конфеты Царская награда	Еда	2013-03-31	314,18		
Картошка, огурцы, печенье, морковь, печенье с фиником, батон, молоко, кефир, редис, варенье, ацидофилин, помидоры	Еда	2013-05-22	446,86		
Булочка «букет из роз» сдобная, бананы, картошка, абрикосы, персики, кефир, финики, сыр плавленый	Еда	2013-06-18	339,11		
Лаваш	Еда,хлеб	2013-06-18	28,80		
Хлеб	Еда,хлеб	2013-06-19	13,20		
Мускатный орех	Еда,специи	2013-06-22	150,00		
Гранат, персик, йогурт питьевой и лимон	Еда	2013-06-23	184,08		
Сметана и молоко	Еда	2013-06-24	54,10		
Нектарин, бананы и хлеб	Еда	2013-06-25	148,90		
Сметанник и марс	Еда	2013-06-29	38,00	5	
Мороженое, молоко, щербет	Еда	2013-06-29	83,10		
Чай	Чай	2013-06-29	285,00		
Нектарин, огурцы, томаты, гранаты, капуста, голубика, мороженое, бананы, шоколад	Еда	2013-06-30	621,95	5	
Молоко	Еда,молоко	2013-07-01	24,50		
Мороженое ушастик	Еда,сладости	2013-07-02	6,50		
Сгущёнка, кефир, молоко, сметана и сырок творожный	Еда	2013-07-02	176,30		
Картошка	Еда,овощи,картошка	2013-07-02	52,98		
Мука	Еда	2013-07-02	63,40		
Молоко	Еда,молоко	2013-07-06	70,00		
Морковь	Еда,овощи,морковка	2013-07-06	16,78		
Помидоры, груши, огурцы, абрикосы, кефир, крекеры, персики, виноград, натх медово-ореховый, щербет с арахисом, бананы, сникерс, супер сникерс	Еда	2013-07-08	509,76		
Кефир	Еда,молочные продукты	2013-07-08	22,20		
Хлеб	Еда,хлеб	2013-07-11	13,20		
Пончики, рожки алтайские, печенье, йогурт питьевой	Еда	2013-07-12	136,14		
Хлеб, бананы и лимоны	Еда	2013-07-13	90,69		
Молоко	Еда	2013-07-14	30,60		
Чипсы	Еда	2013-07-15	75,50		
Овощи и фрукты на рынке	Еда	2013-07-16	323,00		
Мандарины	Еда	2013-07-16	134,00		
Сгущёнка	Еда	2013-07-16	248,00		
Масло	Еда	2013-07-16	155,00		
Картошка	Еда	2013-07-16	49,00		
Сахар и мука	Еда	2013-07-16	226,50		
Молоко	Еда	2013-07-16	30,60		
Бананы, баранки, хлеб, плавленый сыр, молоко, сметана	Еда	2013-07-17	184,64		
Молоко	Еда	2013-07-19	30,60		
Молоко	Еда	2013-07-20	105,00		
Хлеб	Еда	2013-07-21	11,20		
Молоко	Еда	2013-07-22	30,60		
Молоко	Еда	2013-07-23	30,60		
Йогурт, крекер, сырок, сникерс, помидоры, молоко, зефир, мармелад	Еда	2013-07-24	317,90		
Персики половинки консервированные, нектарин, мука 5 кг, бананы и молоко	Еда	2013-07-26	383,10		
Хлеб	Еда	2013-07-27	13,20		
Сметана и молоко	Еда	2013-07-28	91,20		
Молоко	Еда	2013-07-29	30,60		
Семечки	Еда	2013-07-29	9,00		
Нектарин и арбуз	Еда	2013-07-29	117,00		
Молоко	Еда	2013-07-31	30,60		
Бананы на нама-хатту	Еда	2013-08-01	42,69		
Молоко	Еда	2013-08-01	35,80		
Вода и йогурт	Еда	2013-08-04	43,90		
Молоко	Еда	2013-08-05	35,80		
Зелень	Еда	2013-08-06	35,00		
Молоко	Еда	2013-08-06	70,00		
Сметана, сникерс, хлеб и лаваш	Еда	2013-08-07	110,70		
Хлеб и лаваш	Еда	2013-08-10	44,40		
Рис, кекс, слойки, крекер, щербет и два сникерса	Еда	2013-08-11	292,00		
